epoch_ms,watts
1789779114189,38.66
1789779114305,38.55
1789779114460,38.55
1789779114575,33.75
1789779114690,33.75
1789779114805,46.97
1789779114920,38.69
1789779115035,38.69
1789779115150,38.55
1789779115266,38.54
1789779115380,33.79
1789779115496,33.74
1789779115610,33.68
1789779115725,33.68
1789779115840,33.66
1789779115986,35.28
1789779116172,35.28
1789779116302,27.83
1789779116423,27.73
1789779116555,27.69
1789779116676,27.6
1789779116806,27.53
1789779116927,27.57
1789779117058,27.63
1789779117179,27.56
1789779117310,27.59
1789779117440,27.52
1789779117569,27.29
1789779117689,27.29
1789779117811,27.57
1789779117941,27.47
1789779118070,27.5
1789779118201,27.46
1789779118331,27.5
1789779118460,27.42
1789779118578,27.4
1789779118699,27.42
1789779118820,27.5
1789779118941,27.42
1789779119071,27.39
1789779119200,27.4
1789779119320,27.43
1789779119449,27.4
1789779119573,27.38
1789779119699,27.46
1789779119829,27.33
1789779119958,27.33
1789779120073,27.36
1789779120187,37.56
1789779120302,37.65
1789779120417,37.43
1789779120531,32.3
1789779120646,37.62
1789779120760,37.62
1789779120875,37.63
1789779120989,37.47
1789779121103,28.76
1789779121233,28.76
1789779121349,50.0
1789779121464,50.0
1789779121579,31.43
1789779121694,42.34
1789779121809,42.27
1789779121926,29.97
1789779122041,29.97
1789779122156,37.96
1789779122270,37.9
1789779122385,37.71
1789779122502,37.71
1789779122616,50.1
1789779122760,50.1
1789779122875,41.53
1789779122990,31.1
1789779123105,42.67
1789779123220,38.01
1789779123335,36.12
1789779123448,36.12
1789779123563,38.19
1789779123677,38.02
1789779123793,37.96
1789779123907,31.31
1789779124022,38.11
1789779124139,38.11
1789779124259,38.11
1789779124374,38.53
1789779124488,30.86
1789779124614,30.9
1789779124734,27.87
1789779124864,27.87
1789779124995,35.47
1789779125116,35.45
1789779125247,35.45
1789779125377,27.83
1789779125494,27.86
1789779125614,27.8
1789779125743,27.77
1789779125873,27.71
1789779126002,27.7
1789779126132,27.77
1789779126261,27.7
1789779126390,27.59
1789779126520,27.63
1789779126650,27.66
1789779126779,27.63
1789779126909,27.64
1789779127039,27.63
1789779127169,27.63
1789779127289,27.62
1789779127409,27.59
1789779127539,27.57
1789779127668,27.64
1789779127798,27.63
1789779127928,27.57
1789779128057,27.59
1789779128177,27.57
1789779128299,27.53
1789779128420,27.56
1789779128549,27.58
1789779128665,34.63
1789779128779,34.63
1789779128894,34.57
1789779129009,34.61
1789779129123,34.61
1789779129243,34.61
1789779129358,42.92
1789779129473,43.05
1789779129587,43.05
1789779129701,43.05
1789779129816,42.44
1789779129931,43.06
1789779130045,43.06
1789779130159,43.06
1789779130273,43.06
1789779130388,37.68
1789779130502,37.68
1789779130617,38.13
1789779130732,38.22
1789779130847,34.9
1789779130986,34.9
1789779131101,43.28
1789779131258,43.28
1789779131373,38.23
1789779131488,38.24
1789779131603,37.55
1789779131718,34.96
1789779131833,34.96
1789779131948,34.99
1789779132063,35.0
1789779132177,34.45
1789779132301,34.45
1789779132415,43.2
1789779132531,43.2
1789779132645,38.24
1789779132760,37.97
1789779132875,31.02
1789779133005,27.93
1789779133126,27.93
1789779133248,35.35
1789779133377,35.33
1789779133496,35.33
1789779133616,30.99
1789779133746,30.85
1789779133876,30.9
1789779134006,27.79
1789779134136,27.86
1789779134266,27.78
1789779134397,27.81
1789779134527,27.75
1789779134649,27.75
1789779134769,27.74
1789779134899,27.8
1789779135020,27.79
1789779135143,27.74
1789779135264,27.67
1789779135387,27.67
1789779135517,27.71
1789779135648,27.69
1789779135763,27.77
1789779135880,27.66
1789779136001,27.73
1789779136122,27.64
1789779136242,27.64
1789779136372,27.6
1789779136502,27.7
1789779136626,27.64
1789779136755,27.66
1789779136885,27.71
1789779137000,32.56
1789779137116,32.68
1789779137230,32.65
1789779137346,32.71
1789779137460,32.74
1789779137613,32.74
1789779137728,45.2
1789779137848,45.2
1789779137963,37.51
1789779138077,37.49
1789779138191,37.53
1789779138337,37.53
1789779138451,33.01
1789779138566,32.92
1789779138682,32.89
1789779138796,32.92
1789779138911,32.93
1789779139025,32.91
1789779139139,32.91
1789779139254,32.88
1789779139388,32.88
1789779139502,37.5
1789779139617,37.62
1789779139731,37.56
1789779139846,37.56
1789779139961,33.04
1789779140075,32.98
1789779140190,33.07
1789779140304,33.07
1789779140418,33.05
1789779140534,32.91
1789779140648,32.98
1789779140762,33.04
1789779140878,32.99
1789779140993,32.96
1789779141107,32.96
1789779141222,28.0
1789779141344,27.94
1789779141473,27.9
1789779141591,27.89
1789779141721,27.88
1789779141845,27.9
1789779141966,27.83
1789779142096,27.83
1789779142227,27.78
1789779142356,27.79
1789779142486,27.77
1789779142615,27.8
1789779142746,27.86
1789779142875,27.83
1789779143004,27.83
1789779143125,27.83
1789779143248,27.74
1789779143368,27.74
1789779143498,27.74
1789779143628,27.79
1789779143749,27.77
1789779143879,27.78
1789779144008,27.82
1789779144139,27.73
1789779144269,27.77
1789779144399,27.73
1789779144529,27.76
1789779144651,27.77
1789779144774,27.73
1789779144903,27.73
1789779145033,27.77
1789779145154,27.7
1789779145270,27.81
1789779145386,33.81
1789779145500,33.81
1789779145614,33.82
1789779145747,33.82
1789779145862,35.83
1789779145976,44.77
1789779146091,44.77
1789779146206,38.09
1789779146320,31.32
1789779146435,37.99
1789779146549,33.98
1789779146665,33.98
1789779146780,33.96
1789779146895,28.3
1789779147009,34.01
1789779147124,34.01
1789779147238,34.02
1789779147352,28.36
1789779147467,28.36
1789779147581,33.97
1789779147697,34.01
1789779147811,34.06
1789779147926,28.36
1789779148040,28.29
1789779148154,33.95
1789779148268,33.95
1789779148383,33.99
1789779148498,33.36
1789779148613,28.34
1789779148727,33.99
1789779148842,33.93
1789779148956,33.35
1789779149071,33.35
1789779149186,28.42
1789779149301,34.04
1789779149416,34.02
1789779149530,34.14
1789779149645,28.31
1789779149759,28.0
1789779149874,28.0
1789779149990,27.96
1789779150111,27.87
1789779150241,27.93
1789779150397,27.93
1789779150519,35.5
1789779150649,30.99
1789779150779,30.95
1789779150908,30.9
1789779151056,28.02
1789779151177,28.02
1789779151307,28.01
1789779151435,28.02
1789779151555,27.88
1789779151686,27.93
1789779151816,27.9
1789779151946,27.88
1789779152075,27.88
1789779152206,27.83
1789779152335,27.86
1789779152464,27.87
1789779152587,27.84
1789779152708,27.78
1789779152837,27.81
1789779152967,27.89
1789779153096,27.86
1789779153226,27.84
1789779153357,27.84
1789779153488,28.04
1789779153609,27.84
1789779153730,27.86
1789779153859,27.87
1789779153990,27.87
1789779154112,27.77
1789779154233,27.77
1789779154362,27.8
1789779154492,27.74
1789779154609,27.77
1789779154730,27.83
1789779154852,27.77
1789779154981,27.77
1789779155111,27.81
1789779155232,27.9
1789779155361,27.83
1789779155491,27.83
1789779155608,27.77
1789779155729,27.77
1789779155850,27.74
1789779155972,27.8
1789779156102,27.79
1789779156232,27.77
1789779156354,27.77
1789779156484,27.8
1789779156601,27.77
1789779156722,27.8
1789779156843,27.77
1789779156973,27.79
1789779157103,27.77
1789779157234,27.8
1789779157364,27.74
1789779157494,27.77
1789779157618,27.79
1789779157739,27.77
1789779157870,27.73
1789779158000,27.82
1789779158121,27.82
1789779158250,27.84
1789779158372,27.77
1789779158502,27.84
1789779158631,27.8
1789779158752,27.77
1789779158883,27.78
1789779159013,27.87
1789779159134,27.8
1789779159255,27.77
1789779159385,27.77
1789779159515,27.74
1789779159641,27.77
