sp_us,minion_w,sram_w,noc_w,board_w
53532480831,11.192,2.276,3.806,32.40
53532614431,11.173,2.246,3.798,32.36
53532748032,11.163,2.222,3.789,32.31
53532882831,11.156,2.199,3.781,32.27
53533016432,11.142,2.179,3.768,32.24
53533150031,11.136,2.163,3.762,32.21
53533284831,11.121,2.147,3.751,32.18
53533418431,11.119,2.133,3.749,32.16
53533552031,11.116,2.124,3.745,32.14
53533686831,11.119,2.113,3.740,32.11
53533820032,11.116,2.103,3.739,32.10
53533953631,11.112,2.093,3.738,32.08
53534088432,11.107,2.085,3.731,32.07
53534222031,11.102,2.077,3.728,32.06
53534355631,11.097,2.070,3.725,32.04
53534490431,11.104,2.064,3.721,32.03
53534624031,11.093,2.060,3.717,32.02
53534757631,11.092,2.054,3.716,32.01
53534892075,11.090,2.052,3.713,32.01
53535025632,11.085,2.049,3.713,32.00
53535159231,11.082,2.045,3.714,32.24
53535293792,11.111,2.121,3.826,32.50
53535427231,11.139,2.211,3.935,32.63
53535560831,11.160,2.259,3.994,32.84
53535695367,11.184,2.329,4.080,33.04
53535828831,11.201,2.394,4.164,33.21
53535962431,11.222,2.452,4.231,33.30
53536097003,11.230,2.487,4.271,33.32
53536230431,11.229,2.486,4.286,33.45
53536364031,11.250,2.534,4.340,33.57
53536498651,11.263,2.572,4.393,33.67
53536632031,11.278,2.610,4.436,33.61
53536765631,11.268,2.583,4.405,33.71
53536900432,11.284,2.614,4.446,33.79
53537034032,11.294,2.648,4.485,33.87
53537167631,11.305,2.672,4.516,33.88
53537302432,11.318,2.678,4.516,33.85
53537436031,11.314,2.660,4.510,33.92
53537569632,11.318,2.684,4.533,33.98
53537704432,11.330,2.705,4.556,34.03
53537838032,11.334,2.724,4.578,33.93
53537971631,11.317,2.685,4.527,33.99
53538106432,11.321,2.705,4.552,34.05
53538240431,11.331,2.724,4.576,34.10
53538374031,11.345,2.745,4.595,34.07
53538509231,11.340,2.737,4.579,34.03
53538642431,11.333,2.715,4.569,34.08
53538776031,11.336,2.737,4.598,34.13
53538910832,11.346,2.754,4.613,34.16
53539044432,11.350,2.766,4.626,34.04
53539178031,11.337,2.720,4.583,34.09
53539312832,11.353,2.737,4.605,34.14
53539446031,11.360,2.753,4.618,34.18
53539579631,11.374,2.767,4.630,34.13
53539714240,11.364,2.751,4.606,34.09
53539847632,11.358,2.734,4.600,34.14
53539981231,11.356,2.751,4.621,34.18
53540115935,11.364,2.768,4.634,34.20
53540249231,11.378,2.774,4.643,34.08
53540382831,11.365,2.730,4.588,34.13
53540517545,11.370,2.746,4.606,34.17
53540650831,11.379,2.761,4.623,34.21
53540784431,11.377,2.775,4.639,34.15
53540919039,11.365,2.756,4.611,34.12
53541052432,11.365,2.741,4.601,34.16
53541186031,11.372,2.758,4.620,34.20
53541320831,11.378,2.772,4.636,34.22
53541454031,11.387,2.781,4.646,34.10
53541587631,11.373,2.739,4.603,34.15
53541722306,11.381,2.755,4.620,34.19
53541855231,11.392,2.772,4.636,34.23
53541988831,11.393,2.785,4.651,34.15
53542123632,11.390,2.761,4.610,33.90
53542256831,11.352,2.675,4.503,33.67
53542390431,11.320,2.598,4.408,33.47
53542525231,11.296,2.526,4.317,33.30
53542658831,11.268,2.468,4.243,33.14
53542792031,11.253,2.416,4.180,33.01
53542926832,11.234,2.369,4.123,32.89
53543060432,11.218,2.327,4.071,32.78
53543194031,11.206,2.293,4.029,32.69
53543328832,11.190,2.261,3.988,32.61
53543462031,11.189,2.233,3.950,32.53
53543595631,11.175,2.209,3.925,32.47
53543730153,11.160,2.189,3.899,32.41
53543863631,11.147,2.171,3.880,32.36
53543997231,11.141,2.154,3.861,32.32
53544131769,11.144,2.141,3.844,32.27
53544265231,11.137,2.129,3.823,32.24
53544398831,11.131,2.115,3.809,32.21
53544533386,11.124,2.106,3.793,32.18
53544666831,11.120,2.096,3.779,32.15
53544800031,11.113,2.089,3.769,32.13
53544934832,11.110,2.082,3.765,32.11
53545068432,11.104,2.077,3.758,32.10
53545201631,11.101,2.071,3.751,32.08
53545336136,11.099,2.067,3.744,32.07
53545469631,11.092,2.063,3.746,32.05
53545603231,11.091,2.061,3.738,32.04
53545737751,11.091,2.057,3.737,32.03
53545870831,11.089,2.053,3.731,32.03
53546004431,11.082,2.050,3.728,32.02
53546139232,11.078,2.046,3.721,32.01
53546272831,11.075,2.043,3.720,32.33
53546406031,11.078,2.067,3.784,33.13
53546540564,11.095,2.140,3.917,33.83
53546674031,11.113,2.203,4.035,34.48
53546807231,11.130,2.264,4.147,35.02
53546942032,11.143,2.312,4.231,35.52
53547075632,11.159,2.356,4.310,35.94
53547209231,11.181,2.395,4.383,36.32
53547344032,11.193,2.432,4.457,36.65
53547477631,11.199,2.464,4.514,36.94
53547611231,11.219,2.492,4.557,37.20
53547746032,11.229,2.516,4.601,37.42
53547879631,11.239,2.536,4.638,37.62
53548013231,11.244,2.552,4.671,37.77
53548148032,11.262,2.566,4.698,37.92
53548281631,11.268,2.581,4.724,38.06
53548415231,11.266,2.593,4.749,38.18
53548550032,11.272,2.605,4.768,38.29
53548683631,11.282,2.613,4.788,38.37
53548817231,11.286,2.621,4.799,38.46
53548952032,11.294,2.628,4.807,38.54
53549085632,11.302,2.635,4.820,38.60
53549219231,11.305,2.640,4.835,38.64
53549354432,11.309,2.646,4.840,38.69
53549488031,11.313,2.653,4.845,38.74
53549621631,11.321,2.657,4.852,38.78
53549756432,11.336,2.660,4.860,38.82
53549890031,11.338,2.664,4.857,38.84
53550023631,11.344,2.666,4.860,38.87
53550158432,11.353,2.669,4.866,38.90
53550292031,11.357,2.672,4.876,38.93
53550425631,11.360,2.673,4.880,38.93
53550560432,11.364,2.674,4.885,38.95
53550694031,11.365,2.677,4.892,38.97
53550827631,11.370,2.678,4.891,38.99
53550962432,11.372,2.680,4.901,39.00
53551096032,11.382,2.679,4.909,39.01
53551229631,11.384,2.679,4.910,39.03
53551364432,11.386,2.681,4.912,39.04
53551498031,11.391,2.680,4.915,39.06
53551631631,11.395,2.682,4.917,39.05
53551766432,11.400,2.683,4.918,39.06
53551900031,11.399,2.684,4.917,39.07
53552033631,11.403,2.686,4.918,39.09
53552168432,11.402,2.686,4.925,39.09
53552302031,11.402,2.685,4.922,39.10
53552435631,11.399,2.688,4.928,39.11
53552570432,11.402,2.687,4.933,39.12
53552703631,11.400,2.688,4.936,39.12
53552837231,11.402,2.689,4.935,39.11
53552971825,11.406,2.688,4.930,39.12
53553105232,11.402,2.689,4.931,39.13
53553238831,11.399,2.689,4.935,39.14
53553373472,11.406,2.691,4.936,39.14
53553506831,11.411,2.689,4.935,39.15
53553640431,11.420,2.693,4.939,39.15
53553775115,11.424,2.694,4.939,39.16
53553908432,11.428,2.694,4.942,39.17
53554042031,11.429,2.695,4.943,39.15
53554176679,11.432,2.694,4.941,39.16
53554310031,11.436,2.694,4.944,39.17
53554443631,11.439,2.698,4.945,39.18
53554578187,11.429,2.697,4.942,39.00
53554711631,11.431,2.686,4.901,38.18
53554845231,11.411,2.611,4.761,37.43
53554980031,11.393,2.545,4.646,36.80
53555113632,11.362,2.482,4.527,36.23
53555246831,11.341,2.432,4.430,35.74
53555381501,11.324,2.389,4.349,35.31
53555514431,11.314,2.348,4.267,34.92
53555648031,11.309,2.313,4.208,34.58
53555782496,11.304,2.282,4.154,34.29
53555915631,11.295,2.252,4.099,34.03
53556049231,11.282,2.227,4.057,33.80
53556184032,11.278,2.209,4.018,33.60
53556317631,11.268,2.192,3.986,33.42
53556450831,11.258,2.175,3.954,33.27
53556585631,11.246,2.161,3.928,33.13
53556718831,11.232,2.149,3.900,33.01
53556852431,11.230,2.138,3.880,32.91
53556987231,11.225,2.128,3.864,32.81
53557120832,11.213,2.120,3.846,32.73
53557254431,11.210,2.112,3.831,32.66
53557389232,11.205,2.103,3.823,32.59
53557522831,11.200,2.097,3.812,32.53
53557656432,11.202,2.093,3.800,32.48
53557791231,11.197,2.087,3.791,32.44
53557924831,11.192,2.083,3.783,32.40
53558058431,11.187,2.081,3.777,32.36
53558193232,11.186,2.078,3.774,32.33
53558326831,11.178,2.075,3.773,32.31
53558460031,11.170,2.073,3.765,32.28
53558594432,11.166,2.070,3.759,32.26
53558728031,11.158,2.069,3.753,32.24
53558861631,11.165,2.068,3.751,32.90
53558996831,11.180,2.126,3.855,33.64
53559130432,11.202,2.200,3.961,34.31
53559264031,11.218,2.268,4.067,34.88
53559398628,11.228,2.324,4.149,35.39
53559532031,11.242,2.374,4.232,35.83
53559665631,11.262,2.416,4.295,36.22
53559800311,11.285,2.451,4.355,36.56
53559933631,11.301,2.484,4.405,36.87
53560067231,11.322,2.513,4.451,37.13
53560201727,11.329,2.541,4.490,37.36
53560335231,11.330,2.562,4.529,37.56
53560468431,11.340,2.582,4.558,37.70
53560603232,11.356,2.595,4.577,37.24
53560736831,11.354,2.551,4.509,37.26
53560870031,11.348,2.550,4.515,37.48
53561004569,11.365,2.572,4.549,37.67
53561138031,11.372,2.591,4.580,37.84
53561271631,11.375,2.609,4.609,37.70
53561406432,11.362,2.592,4.586,37.88
53561540031,11.371,2.608,4.614,38.03
53561673631,11.380,2.622,4.639,38.16
53561808432,11.382,2.636,4.656,38.10
53561942031,11.389,2.635,4.640,38.10
53562075631,11.387,2.631,4.650,38.22
53562210432,11.391,2.641,4.665,38.33
