epoch_ms,minion_mhz,watts
1789786121283,600,23.94
1789786121548,600,23.99
1789786121800,600,24.08
1789786122050,600,23.9
1789786122316,600,24.17
1789786122565,600,24.01
1789786122797,600,23.98
1789786123051,600,24.12
1789786123303,600,24.05
1789786123559,600,23.97
1789786123809,600,24.11
1789786124069,600,23.99
1789786124316,600,24.01
1789786124582,600,24.08
1789786124832,600,23.98
1789786125065,600,24.18
1789786125323,600,24.12
1789786125580,600,24.07
1789786125832,600,24.02
1789786126092,600,23.94
1789786126348,600,24.02
1789786126608,600,24.02
1789786126861,600,24.02
1789786127127,600,23.97
1789786127363,600,24.04
1789786127613,600,24.05
1789786127864,600,24.02
1789786128121,600,24.02
1789786128380,600,24.02
1789786128640,600,24.08
1789786128888,600,24.02
1789786129156,600,23.98
1789786129403,600,23.98
1789786129635,600,24.04
1789786129869,600,24.15
1789786130119,600,24.18
1789786130377,600,24.29
1789786130627,600,24.22
1789786130883,600,24.25
1789786131139,600,24.08
1789786131390,600,24.15
1789786131642,600,24.18
1789786131887,600,24.21
1789786132117,600,27.13
1789786132367,600,24.15
1789786132626,600,24.29
1789786132879,600,24.12
1789786133143,600,24.12
1789786133393,600,24.18
1789786133652,600,24.04
1789786133902,600,24.18
1789786134156,600,24.15
1789786134389,600,24.08
1789786134619,600,23.98
1789786134869,600,24.01
1789786135120,600,24.02
1789786135375,600,24.08
1789786135636,600,24.02
1789786135897,600,23.95
1789786136155,600,24.12
1789786136414,600,23.94
1789786136663,600,23.99
1789786136911,600,24.04
1789786137170,600,24.02
1789786137420,600,23.94
1789786137675,600,23.98
1789786137931,600,23.98
1789786138183,600,24.05
1789786138434,600,24.02
1789786138696,600,24.04
1789786138945,600,23.99
1789786139205,600,23.98
1789786139460,600,23.94
1789786139720,600,23.91
1789786139976,600,24.02
1789786140243,600,24.12
1789786140502,600,23.97
1789786140741,600,24.02
1789786140971,600,24.01
1789786141220,600,24.08
1789786141479,600,24.16
1789786141741,600,24.02
1789786141991,600,24.08
1789786142258,600,23.99
1789786142513,600,24.08
1789786142773,600,24.05
1789786143028,600,24.04
1789786143258,600,24.02
1789786143510,600,24.08
1789786143760,600,23.98
1789786144012,600,24.02
1789786144268,600,23.99
1789786144523,600,24.04
1789786144771,600,24.02
1789786145029,600,24.12
1789786145283,600,24.02
1789786145515,600,23.98
1789786145770,600,24.08
1789786146025,600,23.94
1789786146284,600,23.98
1789786146541,600,24.02
1789786146800,600,24.02
1789786147059,600,23.94
1789786147319,600,24.02
1789786147573,600,24.03
1789786147807,600,24.71
1789786148057,600,24.89
1789786148306,600,24.82
1789786148541,600,24.79
1789786148791,600,24.82
1789786149049,600,24.86
1789786149309,600,24.82
1789786149568,600,24.96
1789786149816,600,24.84
1789786150049,600,24.01
1789786150294,600,24.04
1789786150562,600,23.99
1789786150813,600,24.08
1789786151081,600,24.01
1789786151332,600,24.07
1789786151599,600,24.02
1789786151850,600,24.08
1789786152114,600,23.99
1789786152346,600,24.04
1789786152591,600,24.03
1789786152850,600,24.04
1789786153109,600,24.16
1789786153369,600,24.04
1789786153627,600,24.08
1789786153888,600,24.08
1789786154136,600,24.08
1789786154389,600,24.04
1789786154621,600,24.86
1789786154866,600,24.82
1789786155131,600,24.89
1789786155388,600,25.03
1789786155637,600,24.82
1789786155904,600,24.85
1789786156154,600,24.89
1789786156403,600,24.92
1789786156670,600,24.94
1789786156902,600,24.11
1789786157135,600,23.98
1789786157384,600,24.02
1789786157643,600,24.08
1789786157893,600,24.04
1789786158140,600,24.12
1789786158407,600,24.03
1789786158661,600,24.07
1789786158921,600,24.02
1789786159158,600,24.11
1789786159390,600,24.14
1789786159640,600,24.02
1789786159891,600,24.08
1789786160147,600,24.04
1789786160396,600,24.02
1789786160629,600,23.94
1789786160888,600,24.03
1789786161137,600,24.04
1789786161395,600,23.97
1789786161628,600,24.92
1789786161883,600,24.85
1789786162133,600,24.92
1789786162384,600,24.85
1789786162633,600,24.92
1789786162899,600,24.89
1789786163159,600,24.85
1789786163411,600,24.79
1789786163662,600,24.89
1789786163893,600,24
1789786164139,600,24.18
1789786164399,600,24.04
1789786164652,600,24.02
1789786164904,600,24.02
1789786165163,600,24.04
1789786165423,600,24.05
1789786165680,600,24.08
1789786165929,600,24.08
1789786166161,600,24.17
1789786166420,600,24.05
1789786166669,600,24.04
1789786166936,600,23.81
1789786167186,600,24.04
1789786167444,600,24.08
1789786167696,600,24.05
1789786167955,600,24.02
1789786168204,600,24.11
1789786168436,600,24.04
1789786168672,600,24.92
1789786168928,600,24.79
1789786169184,600,24.96
1789786169449,600,24.93
1789786169697,600,24.96
1789786169949,600,24.85
1789786170206,600,24.89
1789786170465,600,24.99
1789786170701,600,24.94
1789786170934,600,23.99
1789786171193,600,24.07
1789786171443,600,24.02
1789786171702,600,24.04
1789786171961,600,23.97
1789786172215,600,24.08
1789786172473,600,24.02
1789786172731,600,24.08
1789786172974,600,24.08
1789786173207,600,24.05
1789786173464,600,23.99
1789786173714,600,24.04
1789786173971,600,24.12
1789786174230,600,24.04
1789786174487,600,24.04
1789786174747,600,24
1789786174997,600,23.99
1789786175244,600,24.02
1789786175502,600,24.08
1789786175751,600,24.08
1789786176002,600,24.04
1789786176270,600,24.05
1789786176521,600,23.98
1789786176772,600,24.02
1789786177038,600,24.04
1789786177288,600,24.05
1789786177537,600,24.12
1789786177790,600,24.02
1789786178048,600,24.04
1789786178306,600,24.02
1789786178561,600,24.04
1789786178811,600,24.02
1789786179071,600,24.02
1789786179313,600,24.02
1789786179544,600,24.93
1789786179797,600,24.86
1789786180048,600,24.93
1789786180308,600,24.82
1789786180558,600,24.8
1789786180815,600,24.86
1789786181072,600,24.79
1789786181324,600,24.96
1789794451188,600,23.89
1789794451419,600,23.9
1789794451650,600,23.94
1789794451906,600,24.12
1789794452165,600,24.04
1789794452413,600,24.12
1789794452672,600,24.05
1789794452927,600,24.13
1789794453186,600,24.12
1789794453439,600,24.08
1789794453694,600,24.08
1789794453926,600,24.96
1789794454156,600,24.05
1789794454420,600,24.02
1789794454670,600,23.97
1789794454926,600,24.12
1789794455178,600,24.08
1789794455428,600,24.08
1789794455687,600,24.04
1789794455945,600,24.04
1789794456190,600,23.97
1789794456423,600,29.16
1789794456655,600,23.9
1789794456913,600,23.89
1789794457169,600,23.88
1789794457427,600,23.88
1789794457676,600,23.82
1789794457929,600,23.99
1789794458187,600,23.89
1789794458441,600,23.91
1789794458679,600,23.89
1789794458909,600,23.95
1789794459160,600,23.91
1789794459412,600,23.89
1789794459663,600,23.89
1789794459912,600,23.94
1789794460168,600,23.85
1789794460426,600,23.99
1789794460675,600,23.94
1789794460917,600,23.9
1789794461150,600,32.94
1789794461381,600,24.12
1789794461627,600,24.08
1789794461883,600,24.15
1789794462142,600,24.15
1789794462392,600,24.12
1789794462660,600,24.08
1789794462913,600,24.04
1789794463171,600,24.08
1789794463420,600,23.98
1789794463653,600,24.03
1789794463886,600,23.95
1789794464136,600,24.02
1789794464395,600,24.05
1789794464654,600,24.08
1789794464905,600,24.08
1789794465163,600,24.02
1789794465411,600,24.08
1789794465670,600,24.12
1789794465906,600,24.02
1789794466136,600,25.18
1789794466381,600,23.91
1789794466640,600,23.94
1789794466896,600,23.95
1789794467154,600,23.89
1789794467411,600,23.95
1789794467669,600,23.91
1789794467920,600,23.85
1789794468173,600,23.95
1789794468405,600,23.98
1789794468639,600,23.95
1789794468890,600,23.98
1789794469145,600,23.94
1789794469410,600,23.94
1789794469661,600,24.04
1789794469917,600,23.91
1789794470166,600,23.88
