epoch_ms,watts
1789778946615,27.65
1789778946746,27.61
1789778946875,27.64
1789778947005,27.6
1789778947135,27.6
1789778947256,27.65
1789778947376,27.57
1789778947500,27.48
1789778947629,27.52
1789778947750,27.57
1789778947879,27.57
1789778947998,27.53
1789778948118,27.48
1789778948239,27.51
1789778948357,27.52
1789778948473,27.73
1789778948595,27.73
1789778948716,27.51
1789778948831,27.49
1789778948946,33.44
1789778949060,33.42
1789778949174,33.49
1789778949290,33.44
1789778949404,33.44
1789778949519,33.48
1789778949634,33.47
1789778949775,33.47
1789778949890,46.76
1789778950004,46.95
1789778950119,38.56
1789778950234,38.56
1789778950349,38.69
1789778950463,38.52
1789778950577,33.75
1789778950729,33.75
1789778950844,47.09
1789778950960,47.09
1789778951074,38.82
1789778951189,38.66
1789778951303,38.73
1789778951418,33.92
1789778951532,33.92
1789778951648,33.84
1789778951762,33.84
1789778951877,33.78
1789778952011,33.78
1789778952126,47.2
1789778952255,47.2
1789778952370,38.76
1789778952484,38.76
1789778952599,38.75
1789778952713,33.92
1789778952828,33.92
1789778952943,33.89
1789778953058,33.84
1789778953173,27.99
1789778953303,27.92
1789778953424,27.92
1789778953553,27.87
1789778953696,27.87
1789778953826,35.28
1789778953996,27.84
1789778954125,27.84
1789778954255,27.8
1789778954385,27.74
1789778954509,27.74
1789778954639,27.7
1789778954760,27.7
1789778954881,27.7
1789778955011,27.7
1789778955142,27.7
1789778955271,27.66
1789778955402,27.81
1789778955517,27.65
1789778955638,27.65
1789778955760,27.65
1789778955889,27.64
1789778956018,27.66
1789778956139,27.61
1789778956268,27.65
1789778956398,27.65
1789778956519,27.52
1789778956640,27.6
1789778956770,27.59
1789778956900,27.52
1789778957029,27.54
1789778957159,27.54
1789778957274,27.56
1789778957388,37.76
1789778957503,37.74
1789778957617,37.52
1789778957752,37.52
1789778957867,50.04
1789778957987,50.04
1789778958102,40.86
1789778958217,42.55
1789778958332,42.6
1789778958490,42.6
1789778958605,37.22
1789778958719,28.4
1789778958834,38.1
1789778958949,38.16
1789778959063,37.12
1789778959177,38.03
1789778959292,38.03
1789778959407,38.11
1789778959522,38.17
1789778959636,36.49
1789778959750,38.13
1789778959864,38.14
1789778959979,38.03
1789778960093,38.03
1789778960208,32.75
1789778960323,38.3
1789778960437,38.17
1789778960552,37.89
1789778960666,28.4
1789778960781,38.25
1789778960895,38.25
1789778961010,38.13
1789778961125,37.39
1789778961239,38.19
1789778961355,38.29
1789778961470,38.14
1789778961584,36.71
1789778961699,36.71
1789778961814,28.02
1789778961934,28.01
1789778962056,27.94
1789778962186,27.88
1789778962319,35.48
1789778962449,35.48
1789778962570,30.96
1789778962685,30.93
1789778962815,30.93
1789778962946,30.93
1789778963067,27.9
1789778963188,27.84
1789778963309,27.9
1789778963439,27.87
1789778963561,27.84
1789778963690,27.84
1789778963820,27.8
1789778963950,27.77
1789778964080,27.77
1789778964210,27.77
1789778964341,27.77
1789778964470,27.74
1789778964591,27.74
1789778964720,27.71
1789778964841,27.74
1789778964972,27.77
1789778965101,27.7
1789778965231,27.7
1789778965361,27.76
1789778965476,27.76
1789778965597,27.65
1789778965726,27.7
1789778965841,27.72
1789778965957,34.54
1789778966071,34.7
1789778966185,34.7
1789778966300,34.75
1789778966414,34.55
1789778966529,34.55
1789778966643,34.81
1789778966759,34.82
1789778966873,34.82
1789778966989,43.04
1789778967103,37.2
1789778967217,43.17
1789778967343,43.17
1789778967458,38.24
1789778967572,38.24
1789778967688,37.85
1789778967832,34.98
1789778967961,34.98
1789778968076,43.34
1789778968220,43.34
1789778968334,32.44
1789778968449,38.33
1789778968563,38.34
1789778968678,35.02
1789778968792,35.02
1789778968906,34.19
1789778969021,35.02
1789778969135,35.02
1789778969249,35.02
1789778969363,34.87
1789778969478,34.97
1789778969617,34.97
1789778969731,38.24
1789778969845,38.24
1789778969960,37.83
1789778970074,37.83
1789778970191,28.07
1789778970312,27.9
1789778970440,27.93
1789778970570,27.89
1789778970744,27.89
1789778970864,35.36
1789778970994,35.47
1789778971116,30.96
1789778971246,30.93
1789778971376,30.87
1789778971505,27.88
1789778971635,27.88
1789778971756,27.9
1789778971885,27.84
1789778972005,27.84
1789778972135,27.87
1789778972265,27.84
1789778972395,27.84
1789778972516,27.81
1789778972636,27.78
1789778972766,27.75
1789778972897,27.71
1789778973019,27.81
1789778973148,27.74
1789778973278,27.67
1789778973408,27.74
1789778973529,27.77
1789778973650,27.65
1789778973772,27.74
1789778973902,27.71
1789778974031,27.71
1789778974159,27.79
1789778974274,32.71
1789778974388,32.81
1789778974502,32.79
1789778974617,32.8
1789778974731,32.7
1789778974846,32.7
1789778974960,32.92
1789778975075,32.75
1789778975215,32.75
1789778975330,37.54
1789778975444,37.54
1789778975559,37.54
1789778975674,37.5
1789778975788,32.95
1789778975903,32.92
1789778976017,32.92
1789778976131,32.92
1789778976246,33.02
1789778976360,32.8
1789778976475,33.02
1789778976589,32.95
1789778976704,32.94
1789778976818,32.94
1789778976932,33.05
1789778977047,32.99
1789778977161,33.03
1789778977276,32.95
1789778977390,32.96
1789778977504,32.96
1789778977618,33.02
1789778977733,32.99
1789778977847,32.89
1789778977962,32.96
1789778978076,32.96
1789778978191,33.01
1789778978305,33.01
1789778978420,32.98
1789778978535,33.07
1789778978650,28.01
1789778978772,27.93
1789778978902,27.93
1789778979031,27.85
1789778979152,27.98
1789778979273,27.9
1789778979389,27.88
1789778979520,27.81
1789778979650,27.81
1789778979780,27.8
1789778979900,27.8
1789778980021,27.85
1789778980143,27.79
1789778980272,27.79
1789778980403,27.79
1789778980533,27.81
1789778980664,27.74
1789778980794,27.74
1789778980925,27.71
1789778981055,27.71
1789778981184,27.79
1789778981315,27.74
1789778981444,27.67
1789778981575,27.71
1789778981705,27.68
1789778981835,27.68
1789778981952,27.75
1789778982071,27.71
1789778982201,27.74
1789778982322,27.74
1789778982441,27.68
1789778982572,27.68
1789778982688,27.73
1789778982803,33.75
1789778982917,33.75
1789778983031,33.75
1789778983160,33.75
1789778983274,35.82
1789778983389,44.82
1789778983552,44.82
1789778983667,37.13
1789778983782,31.43
1789778983896,38.12
1789778984010,33.96
1789778984125,33.96
1789778984240,33.33
1789778984355,28.34
1789778984469,34.06
1789778984594,34.06
1789778984708,31.41
1789778984823,31.41
1789778984938,31.37
1789778985053,38.12
1789778985168,34.05
1789778985282,28.41
1789778985397,28.41
1789778985512,33.99
1789778985626,34.11
1789778985741,34.15
1789778985855,28.46
1789778985969,28.34
1789778986084,33.95
1789778986198,33.95
1789778986313,34.0
1789778986427,33.33
1789778986542,28.4
1789778986656,34.08
1789778986771,34.15
1789778986885,33.44
1789778986999,33.44
1789778987114,28.4
1789778987229,28.01
1789778987350,27.84
1789778987480,27.94
1789778987610,27.98
1789778987736,27.98
1789778987857,35.36
1789778987987,31.0
1789778988118,31.0
1789778988247,31.03
1789778988377,31.03
1789778988502,28.03
1789778988632,27.93
1789778988763,27.93
1789778988892,27.94
1789778989022,27.94
1789778989152,27.89
1789778989281,27.84
1789778989411,27.97
1789778989542,27.88
1789778989673,27.89
1789778989803,27.84
1789778989933,27.85
1789778990064,27.85
1789778990194,27.9
1789778990324,27.85
1789778990445,27.89
1789778990565,27.81
1789778990694,27.79
1789778990815,27.84
1789778990944,27.84
1789778991075,27.84
1789778991205,27.81
1789778991335,27.79
1789778991459,27.79
1789778991589,27.81
1789778991718,27.81
1789778991847,27.77
1789778991977,27.71
1789778992108,27.8
1789778992238,27.8
1789778992369,27.84
1789778992498,27.77
1789778992628,27.78
1789778992757,27.79
1789778992888,27.8
1789778993018,27.78
1789778993147,27.77
1789778993277,27.77
1789778993407,27.74
1789778993537,27.77
1789778993666,27.84
1789778993796,27.77
1789778993913,27.8
1789778994034,27.77
1789778994164,27.78
1789778994294,27.8
1789778994423,27.74
1789778994553,27.74
1789778994674,27.83
1789778994804,27.77
1789778994923,27.81
1789778995053,27.78
1789778995184,27.7
1789778995314,27.8
1789778995445,27.74
1789778995576,27.84
1789778995706,27.67
1789778995836,27.78
1789778995965,27.8
1789778996094,27.7
1789778996224,27.71
1789778996354,27.81
1789778996476,27.78
1789778996605,27.77
1789778996727,27.77
1789778996848,27.77
1789778996973,27.77
1789778997104,27.7
